param,param_mean,group,hdi_low,hdi_high,param_std
mu_sigma_a,0.3789556135433396,control,-0.644819818791919,-0.5876238442436115,0.015104953593935688
mu_sigma_a,0.9974322296291381,patient,-0.644819818791919,-0.5876238442436115,0.0026009185581238434
mu_sigma_a,0.3609355071247182,control,-0.7991164435802587,-0.49215275130069625,0.1117136244740736
mu_sigma_a,0.9974322296291381,patient,-0.7991164435802587,-0.49215275130069625,0.0026009185581238434
mu_sigma_a,0.43366919931591313,control,-0.5923550118474228,-0.4191188646691499,0.027708692802281155
mu_sigma_a,0.9458935693380676,patient,-0.5923550118474228,-0.4191188646691499,0.03847345032535432
mu_sigma_a,0.4654717622616122,control,-0.541698826996728,-0.36614176485768063,0.01986162283706341
mu_sigma_a,0.921268327567706,patient,-0.541698826996728,-0.36614176485768063,0.04401436002968697
mu_sigma_a,0.5040796027929176,control,-0.42791585067454907,-0.1434174480986562,0.01640275784059664
mu_sigma_a,0.7834927251697099,patient,-0.42791585067454907,-0.1434174480986562,0.07499871466831895
mu_sigma_a,0.4182244738970452,control,-0.5933630013680727,-0.4653505094707245,0.013893320079730122
mu_sigma_a,0.9551053351542748,patient,-0.5933630013680727,-0.4653505094707245,0.032818888358224635
mu_sigma_a,0.5248122599521772,control,-0.4919547173908856,-0.34834783015346826,0.013044504256068073
mu_sigma_a,0.9458935693380676,patient,-0.4919547173908856,-0.34834783015346826,0.03847345032535432
mu_sigma_a,0.4409119585771094,control,-0.5528891886274582,-0.36554201438527656,0.014108935168804666
mu_sigma_a,0.9091555469289163,patient,-0.5528891886274582,-0.36554201438527656,0.0516103472770012
mu_sigma_a,0.5248122599521772,control,-0.4851386229292198,0.30609727955397636,0.013044504256068073
mu_sigma_a,0.6466804988494147,patient,-0.4851386229292198,0.30609727955397636,0.24441400827416732
mu_sigma_a,0.5248122599521772,control,-0.40799612335782476,-0.2293667433846599,0.013044504256068073
mu_sigma_a,0.8418347768276818,patient,-0.40799612335782476,-0.2293667433846599,0.045468735969190564
mu_sigma_a,0.5312616727056524,control,-0.4520355402029713,-0.2530289875224192,0.024254003502140818
mu_sigma_a,0.8887947369370183,patient,-0.4520355402029713,-0.2530289875224192,0.04802037435099956
