,parameter,significant_percent
0,mu_sigma_a,87.39669421487604
1,mu_sigma_n,6.721820062047571
2,mu_eta,37.22854188210962
3,mu_kappa,38.57290589451913
4,mu_beta,86.94300518134716
5,mu_bias,39.05759162303665
