param,param_mean,group,hdi_low,hdi_high,param_std
mu_Arew,0.4950894940331768,control,-0.14763648241916766,-0.11181046560305952,0.005542326478553331
mu_Arew,0.6257599673427946,patient,-0.14763648241916766,-0.11181046560305952,0.00785412708256341
mu_Arew,0.5282770029162099,control,-0.11585106453134464,-0.07972353430396006,0.005743913997571465
mu_Arew,0.6257599673427946,patient,-0.11585106453134464,-0.07972353430396006,0.00785412708256341
mu_Arew,0.5122786734386215,control,-0.18099529040645795,-0.14038187734856222,0.005001787723879347
mu_Arew,0.6725443476216195,patient,-0.18099529040645795,-0.14038187734856222,0.009587458914702491
mu_Arew,0.5302478707879766,control,-0.21343716362606957,-0.1781741096632944,0.005987865386382632
mu_Arew,0.7261014202156669,patient,-0.21343716362606957,-0.1781741096632944,0.007233251273771217
mu_Arew,0.5648682450282358,control,-0.11800625130079423,-0.08540345966833918,0.005895182766019463
mu_Arew,0.6668345838454375,patient,-0.11800625130079423,-0.08540345966833918,0.006409313148477075
mu_Arew,0.5292074308545637,control,-0.22131723317094976,-0.17919640140183524,0.006228658740062742
mu_Arew,0.7306257510782461,patient,-0.22131723317094976,-0.17919640140183524,0.009488187188245595
mu_Arew,0.5709907532883186,control,-0.12201994499557478,-0.08101413522618617,0.005405702196139758
mu_Arew,0.6725443476216195,patient,-0.12201994499557478,-0.08101413522618617,0.009587458914702491
mu_Arew,0.5073366396657745,control,-0.150422327420478,-0.11863692805943238,0.005726074968748696
mu_Arew,0.6416555914554388,patient,-0.150422327420478,-0.11863692805943238,0.006292552841217331
mu_Arew,0.5709907532883186,control,-0.19226581687566502,-0.15488806243568143,0.005405702196139758
mu_Arew,0.7437558515777097,patient,-0.19226581687566502,-0.15488806243568143,0.008374699650694872
mu_Arew,0.5709907532883186,control,-0.07902906908021567,-0.0466456375963058,0.005405702196139758
mu_Arew,0.6347203015788244,patient,-0.07902906908021567,-0.0466456375963058,0.006844538499332776
mu_Arew,0.524823464140038,control,-0.1587303677710128,-0.12512103833128696,0.00600338149650002
mu_Arew,0.6671385432236488,patient,-0.1587303677710128,-0.12512103833128696,0.0067530433434663
mu_Arew,0.5730308809497341,control,-0.07315553801085872,-0.034975428753152515,0.005609032999358125
mu_Arew,0.6268218461878259,patient,-0.07315553801085872,-0.034975428753152515,0.0084221782264583
mu_Arew,0.5247056383252511,control,-0.24177906065926202,-0.20482638142426435,0.005957485233192373
mu_Arew,0.7482122926727454,patient,-0.24177906065926202,-0.20482638142426435,0.0077169757144126576
mu_Arew,0.528184841439622,control,-0.1511619906817644,-0.11792300996820904,0.005897499521765705
mu_Arew,0.6620134136450743,patient,-0.1511619906817644,-0.11792300996820904,0.0064280510018384735
mu_Arew,0.5268902961494165,control,-0.17602598831935035,-0.14218745314080383,0.00596238756734011
mu_Arew,0.6867803781874044,patient,-0.17602598831935035,-0.14218745314080383,0.006837898332204427
mu_Arew,0.5873506470332872,control,-0.05720743877693191,-0.018651117884850632,0.006619354630537481
mu_Arew,0.6257599673427946,patient,-0.05720743877693191,-0.018651117884850632,0.00785412708256341
mu_Arew,0.5515786619436874,control,-0.21620829671021413,-0.17580800689952403,0.006379418034302465
mu_Arew,0.7471462171458073,patient,-0.21620829671021413,-0.17580800689952403,0.008714845642124922
mu_Arew,0.5023491505815926,control,-0.23171909244145317,-0.18170297888544584,0.0061365809709188505
