,parameter,significant_percent
0,mu_Arew,48.74874874874875
1,mu_Apun,80.38038038038037
2,mu_R,62.76276276276276
3,mu_P,86.88688688688688
4,mu_xi,89.7897897897898
5,mu_d,59.15915915915916
